error,frequency (percentage)
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/BME_494_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=BME&catalogNbr=494',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/BME_416_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=BME&catalogNbr=416',0.020799
'ascii' codec can't encode character '\u200b' in position 210: ordinal not in range(128),0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/BME_413_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=BME&catalogNbr=413',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/BME_350_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=BME&catalogNbr=350',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/BIO_345_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=BIO&catalogNbr=345',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/BIO_343_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=BIO&catalogNbr=343',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CEE_483_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CEE&catalogNbr=483',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_434_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=434',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_465_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=465',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_425_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=425',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/BCH_462_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=BCH&catalogNbr=462',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MSE_415_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MSE&catalogNbr=415',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/STP_427_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=STP&catalogNbr=427',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MSE_335_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MSE&catalogNbr=335',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MEE_446_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MEE&catalogNbr=446',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_461_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=461',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MEE_434_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MEE&catalogNbr=434',0.020799
unknown url type: *** broken d,0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MEE_351_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MEE&catalogNbr=351',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAE_455_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAE&catalogNbr=455',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAE_436_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAE&catalogNbr=436',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAE_417_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAE&catalogNbr=417',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAE_404_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAE&catalogNbr=404',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAE_341_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAE&catalogNbr=341',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_475_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=475',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_474_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=474',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_470_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=470',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/BIO_340_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=BIO&catalogNbr=340',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CHE_475_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CHE&catalogNbr=475',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/BCH_461_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=BCH&catalogNbr=461',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CHE_442_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CHE&catalogNbr=442',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CPI_460_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CPI&catalogNbr=460',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CPI_411_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CPI&catalogNbr=411',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CPI_360_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CPI&catalogNbr=360',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CPI_350_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CPI&catalogNbr=350',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CPI_311_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CPI&catalogNbr=311',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CIS_415_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CIS&catalogNbr=415',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/PHY_361_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=PHY&catalogNbr=361',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CHE_469_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CHE&catalogNbr=469',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CHE_462_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CHE&catalogNbr=462',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CHE_461_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CHE&catalogNbr=461',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CEE_481_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CEE&catalogNbr=481',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_443_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=443',0.020799
HTTP Error 301: Moved Permanently - Redirection to url 'mailto:kjones@whitworth.edu/' is not allowed,0.020799
HTTP Error 301: Moved Permanently - Redirection to url 'tel:5097771000/' is not allowed,0.020799
HTTP Error 301: Moved Permanently - Redirection to url 'mailto:mailto:qmao@whitworth.edu/' is not allowed,0.020799
HTTP Error 301: Moved Permanently - Redirection to url 'mailto:mailto:sgriffith@whitworth.edu/' is not allowed,0.020799
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.ogp.columbia.edu'. (_ssl.c:1129)",0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CPI_462_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CPI&catalogNbr=462',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_320_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=320',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/BCH_361_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=BCH&catalogNbr=361',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_335_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=335',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AME_435_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AME&catalogNbr=435',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AME_430_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AME&catalogNbr=430',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_468_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=468',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CEE_486_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CEE&catalogNbr=486',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CHE_342_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CHE&catalogNbr=342',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CHE_432_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CHE&catalogNbr=432',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_325_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=325',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_404_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=404',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_360_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=360',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_350_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=350',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_335_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=335',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_333_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=333',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/EEE_304_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=EEE&catalogNbr=304',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/DAT_402_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=DAT&catalogNbr=402',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/DAT_401_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=DAT&catalogNbr=401',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/DAT_301_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=DAT&catalogNbr=301',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/DAT_300_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=DAT&catalogNbr=300',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/PHY_302_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=PHY&catalogNbr=302',0.020799
HTTP Error 301: Moved Permanently - Redirection to url 'mailto:ptucker@whitworth.edu/' is not allowed,0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/STP_425_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=STP&catalogNbr=425',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_360_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=360',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAT_343_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAT&catalogNbr=343',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_445_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=445',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_434_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=434',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_412_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=412',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_330_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=330',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_340_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=340',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ENG_105_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ENG&catalogNbr=105',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_365_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=365',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ENG_107_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ENG&catalogNbr=107',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_110_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=110',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ENG_102_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ENG&catalogNbr=102',0.020799
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.abet.org.'. (_ssl.c:1129)",0.020799
HTTP Error 404: Page not found,0.020799
HTTP Error 404: File Not Found,0.020799
HTTP Error 504: Gateway Time-out,0.020799
[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1129),0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ENG_101_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ENG&catalogNbr=101',0.020799
'ascii' codec can't encode character '\u2013' in position 95: ordinal not in range(128),0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_485_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=485',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_486_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=486',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_415_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=415',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_426_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=426',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/PHY_462_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=PHY&catalogNbr=462',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAT_267_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAT&catalogNbr=267',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_259_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=259',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_230_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=230',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_240_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=240',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAT_243_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAT&catalogNbr=243',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_355_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=355',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_120_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=120',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAT_266_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAT&catalogNbr=266',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_205_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=205',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAT_265_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAT&catalogNbr=265',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/FSE_100_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=FSE&catalogNbr=100',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ENG_108_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ENG&catalogNbr=108',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_310_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=310',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/IEE_380_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=IEE&catalogNbr=380',0.020799
[Errno 65] No route to host,0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/AEE_462_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=AEE&catalogNbr=462',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ASU_101-CSE_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ASU&catalogNbr=101-CSE',0.020799
