name,link,error
Kansas State University,https://www.cs.ksu.edu/tel:+17855326350,HTTP Error 404: Not Found
Kansas State University,https://www.cs.ksu.edu/mailto:csoffice@k-state.edu,HTTP Error 404: Not Found
Cornell University,https://www.cs.cornell.edu/masters/apply/application,'charmap' codec can't encode character '\u200b' in position 34038: character maps to <undefined>
Colorado State University-Fort Collins,https://www.cs.colostate.edu/~cs535/,HTTP Error 403: Forbidden
Colorado State University-Fort Collins,https://cs.colostate.edu/~cs542/,'charmap' codec can't encode character '\u2033' in position 121: character maps to <undefined>
Cornell University,https://www.cs.cornell.edu/masters/academics/preapprovedcourses,'charmap' codec can't encode character '\u200b' in position 41828: character maps to <undefined>
Cornell University,https://www.cs.cornell.edu/masters/current/courseenrollment,'charmap' codec can't encode character '\u200b' in position 32614: character maps to <undefined>
Colorado State University-Fort Collins,https://www.cs.colostate.edu/BMAC/,'charmap' codec can't encode character '\u0301' in position 19345: character maps to <undefined>
Colorado State University-Fort Collins,https://www.cs.colostate.edu/~cs253/,'charmap' codec can't encode character '\u2012' in position 18230: character maps to <undefined>
Colorado State University-Fort Collins,https://www.cs.colostate.edu/~cs270/,'charmap' codec can't encode character '\u2630' in position 2313: character maps to <undefined>
Colorado State University-Fort Collins,https://goo.gl/maps/VjuTjLoaXdVacEL39,'charmap' codec can't encode characters in position 1256-1260: character maps to <undefined>
Colorado State University-Fort Collins,https://compsci.colostate.edu/tel:+19704916512,HTTP Error 404: Not Found
Colorado State University-Fort Collins,https://compsci.colostate.edu/tel:+19704912466,HTTP Error 404: Not Found
Colorado State University-Fort Collins,https://compsci.colostate.edu/mailto:compsci_info@colostate.edu,HTTP Error 404: Not Found
Cornell University,https://www.cs.cornell.edu/sites/default/files/shared/graduate_ta_handbook.pdf,'utf-8' codec can't decode byte 0xd3 in position 10: invalid continuation byte
Colorado State University-Fort Collins,https://www.youtube.com/channel/UCVLw7iPx53hlerUv_7hBEoA,'charmap' codec can't encode character '\u2190' in position 518743: character maps to <undefined>
Cornell University,https://www.cs.cornell.edu/sites/default/files/shared/ms_checklist.pdf,'utf-8' codec can't decode byte 0xe2 in position 10: invalid continuation byte
Colorado State University-Fort Collins,https://www.biology.colostate.edu/,'charmap' codec can't encode characters in position 115672-115673: character maps to <undefined>
Colorado State University-Fort Collins,https://www.chem.colostate.edu/,'charmap' codec can't encode character '\u202f' in position 123336: character maps to <undefined>
Colorado State University-Fort Collins,https://advancing.colostate.edu/CNS/GIVE,HTTP Error 403: Forbidden
Colorado State University-Fort Collins,https://admissions.colostate.edu,'charmap' codec can't encode characters in position 57882-57883: character maps to <undefined>
Colorado State University-Fort Collins,https://www.colostate.edu/info-contact.aspx,HTTP Error 403: Forbidden
Colorado State University-Fort Collins,https://www.colostate.edu/info-disclaimer.aspx,HTTP Error 403: Forbidden
Colorado State University-Fort Collins,https://www.colostate.edu/info-equalop.aspx,HTTP Error 403: Forbidden
Colorado State University-Fort Collins,https://www.colostate.edu/info-privacy.aspx,HTTP Error 403: Forbidden
Colorado State University-Fort Collins,https://www.colostate.edu/,HTTP Error 403: Forbidden
